open,high,low,close,volume
6260.0,6260.0,6260.0,6260.0,419476.0
6260.0,6260.0,6240.0,6240.0,403936.0
6240.0,6240.0,6220.0,6220.0,409206.0
6220.0,6240.0,6220.0,6220.0,401274.0
6220.0,6230.0,6210.0,6230.0,412543.0
6230.0,6240.0,6210.0,6240.0,420513.0
6240.0,6250.0,6230.0,6250.0,434881.0
6250.0,6280.0,6240.0,6280.0,405298.0
6280.0,6290.0,6270.0,6280.0,430681.0
6280.0,6290.0,6280.0,6290.0,459571.0
6290.0,6300.0,6290.0,6300.0,406046.0
6300.0,6300.0,6290.0,6290.0,428288.0
6290.0,6290.0,6280.0,6290.0,425517.0
6290.0,6290.0,6280.0,6290.0,427857.0
6290.0,6300.0,6280.0,6300.0,425068.0
6300.0,6300.0,6280.0,6290.0,404306.0
6290.0,6300.0,6280.0,6300.0,508470.0
6300.0,6300.0,6290.0,6300.0,403981.0
6300.0,6300.0,6290.0,6290.0,401180.0
6290.0,6300.0,6290.0,6300.0,403423.0
6300.0,6310.0,6290.0,6310.0,474617.0
6310.0,6310.0,6300.0,6310.0,401773.0
6310.0,6320.0,6310.0,6320.0,405913.0
6320.0,6320.0,6300.0,6300.0,415727.0
6300.0,6300.0,6300.0,6300.0,401054.0
6300.0,6320.0,6300.0,6320.0,405810.0
6320.0,6320.0,6320.0,6320.0,533082.0
6320.0,6330.0,6320.0,6320.0,424060.0
6320.0,6330.0,6320.0,6320.0,472411.0
6320.0,6320.0,6310.0,6310.0,421086.0
6310.0,6320.0,6310.0,6320.0,409666.0
6320.0,6320.0,6320.0,6320.0,447085.0
6320.0,6320.0,6310.0,6310.0,439824.0
6310.0,6310.0,6310.0,6310.0,404644.0
6310.0,6310.0,6310.0,6310.0,429551.0
6310.0,6320.0,6300.0,6300.0,450785.0
6300.0,6310.0,6300.0,6310.0,486513.0
6310.0,6310.0,6310.0,6310.0,400900.0
6310.0,6310.0,6300.0,6300.0,459000.0
6300.0,6310.0,6300.0,6310.0,475592.0
6310.0,6310.0,6300.0,6300.0,400131.0
6300.0,6310.0,6300.0,6300.0,433092.0
6300.0,6300.0,6300.0,6300.0,453745.0
6300.0,6300.0,6300.0,6300.0,476904.0
6300.0,6310.0,6300.0,6300.0,419649.0
6300.0,6310.0,6300.0,6300.0,400350.0
6300.0,6310.0,6290.0,6290.0,514418.0
6290.0,6300.0,6290.0,6290.0,468760.0
6290.0,6300.0,6290.0,6290.0,408636.0
6290.0,6290.0,6280.0,6280.0,421277.0
6280.0,6290.0,6280.0,6280.0,426205.0
6280.0,6290.0,6280.0,6280.0,412339.0
6280.0,6290.0,6280.0,6280.0,407252.0
6280.0,6290.0,6280.0,6280.0,431370.0
6280.0,6290.0,6280.0,6280.0,434913.0
6280.0,6290.0,6280.0,6280.0,454233.0
6280.0,6290.0,6280.0,6280.0,447095.0
6280.0,6290.0,6280.0,6280.0,405590.0
6280.0,6280.0,6280.0,6280.0,405340.0
6280.0,6280.0,6280.0,6280.0,401000.0
6280.0,6290.0,6280.0,6280.0,402175.0
6280.0,6290.0,6270.0,6270.0,405360.0
6270.0,6280.0,6260.0,6260.0,403163.0
6260.0,6270.0,6260.0,6260.0,403777.0
6260.0,6270.0,6260.0,6260.0,427256.0
6260.0,6270.0,6260.0,6270.0,413647.0
6270.0,6280.0,6270.0,6280.0,517666.0
6280.0,6290.0,6280.0,6280.0,459673.0
6280.0,6290.0,6280.0,6290.0,403254.0
6290.0,6290.0,6280.0,6280.0,441016.0
6280.0,6290.0,6280.0,6280.0,411465.0
6280.0,6290.0,6280.0,6280.0,409652.0
6280.0,6290.0,6280.0,6280.0,452909.0
6280.0,6290.0,6280.0,6280.0,445380.0
6280.0,6290.0,6280.0,6280.0,418543.0
6280.0,6290.0,6280.0,6280.0,408111.0
6280.0,6290.0,6270.0,6280.0,414682.0
6280.0,6280.0,6270.0,6280.0,409489.0
6280.0,6280.0,6270.0,6280.0,415088.0
6280.0,6280.0,6270.0,6280.0,412927.0
6280.0,6280.0,6260.0,6270.0,415176.0
6270.0,6280.0,6260.0,6270.0,437918.0
6270.0,6280.0,6260.0,6270.0,453155.0
6270.0,6270.0,6260.0,6260.0,432182.0
6260.0,6270.0,6260.0,6260.0,429780.0
6260.0,6270.0,6260.0,6270.0,419782.0
6270.0,6260.0,6260.0,6260.0,407223.0
6260.0,6270.0,6260.0,6260.0,435080.0
6260.0,6270.0,6260.0,6260.0,445759.0
6260.0,6270.0,6260.0,6270.0,413872.0
6270.0,6270.0,6270.0,6270.0,400000.0
6270.0,6270.0,6270.0,6270.0,400000.0
6270.0,6270.0,6270.0,6270.0,400000.0
6270.0,6270.0,6260.0,6260.0,447636.0
6260.0,6270.0,6260.0,6270.0,400592.0
6270.0,6280.0,6260.0,6260.0,442395.0
6260.0,6270.0,6250.0,6250.0,429162.0
6250.0,6260.0,6250.0,6250.0,417750.0
6250.0,6270.0,6250.0,6250.0,410004.0
6250.0,6270.0,6250.0,6260.0,444060.0
6260.0,6270.0,6260.0,6260.0,405853.0
6260.0,6260.0,6250.0,6260.0,401722.0
6260.0,6260.0,6250.0,6260.0,402288.0
6260.0,6260.0,6250.0,6260.0,481386.0
6260.0,6270.0,6260.0,6260.0,439329.0
6260.0,6250.0,6250.0,6250.0,458432.0
6250.0,6260.0,6250.0,6250.0,424610.0
6250.0,6260.0,6240.0,6240.0,401168.0
